code,edge_id,expected_behavior,soc_code,title,work_state,residence_zip,employment_classification,exempt,total_comp_2026
SCL-026,-,coverage sweep row,13-1161,Search Marketing Strategists,CO,81130,Regular Full time (FT),Non-Exempt,"$80,700.00"
SCL-027,-,coverage sweep row,47-2031,Carpenters,CO,81041,Regular Full time (FT),Non-Exempt,"$32,000.00"
SCL-028,-,coverage sweep row,15-1299,Information Technology Project Managers,CO,80816,Regular Part time (PT),Non-Exempt,"$88,500.00"
SCL-029,-,coverage sweep row,19-3093,Historians,FL,32026,Regular Full time (FT),Non-Exempt,"$84,600.00"
SCL-030,-,coverage sweep row,17-2081,Environmental Engineers,FL,32561,Regular Full time (FT),Non-Exempt,"$38,800.00"
SCL-031,-,coverage sweep row,25-1113,"Social Work Teachers, Postsecondary",FL,33825,Regular Full time (FT),Non-Exempt,"$57,300.00"
SCL-032,-,coverage sweep row,53-7063,Machine Feeders and Offbearers,FL,32321,Regular Full time (FT),Non-Exempt,"$37,700.00"
SCL-033,-,coverage sweep row,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",FL,32703,Regular Full time (FT),Non-Exempt,"$28,200.00"
SCL-034,-,coverage sweep row,13-1199,Online Merchants,FL,32159,Regular Full time (FT),Non-Exempt,"$55,200.00"
SCL-035,-,coverage sweep row,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",GA,31510,Regular Part time (PT),Non-Exempt,"$37,900.00"
SCL-036,-,coverage sweep row,15-1242,Database Administrators,GA,31503,Regular Full time (FT),Non-Exempt,"$39,000.00"
SCL-037,-,coverage sweep row,19-3011,Economists,GA,30707,Regular Full time (FT),Non-Exempt,"$109,300.00"
SCL-038,-,coverage sweep row,41-9031,Sales Engineers,GA,30075,Regular Full time (FT),Non-Exempt,"$105,800.00"
SCL-039,-,coverage sweep row,47-2161,Plasterers and Stucco Masons,GA,30012,Regular Full time (FT),Non-Exempt,"$24,100.00"
SCL-040,-,coverage sweep row,51-9022,"Grinding and Polishing Workers, Hand",GA,30417,Regular Full time (FT),Non-Exempt,"$32,100.00"
SCL-041,-,coverage sweep row,15-1255,Web and Digital Interface Designers,GA,30103,Regular Full time (FT),Non-Exempt,"$100,500.00"
SCL-042,-,coverage sweep row,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",GA,30108,Regular Part time (PT),Non-Exempt,"$31,200.00"
SCL-043,-,coverage sweep row,47-4021,Elevator and Escalator Installers and Repairers,GA,30204,Regular Full time (FT),Non-Exempt,"$49,600.00"
SCL-044,-,coverage sweep row,29-2057,Ophthalmic Medical Technicians,GA,31323,Regular Full time (FT),Non-Exempt,"$37,900.00"
SCL-045,-,coverage sweep row,19-3011,Environmental Economists,GA,30721,Regular Full time (FT),Non-Exempt,"$65,300.00"
SCL-046,-,coverage sweep row,43-3021,Billing and Posting Clerks,GA,30104,Regular Full time (FT),Non-Exempt,"$40,000.00"
SCL-047,-,coverage sweep row,49-9043,"Maintenance Workers, Machinery",GA,30205,Regular Full time (FT),Non-Exempt,"$55,400.00"
SCL-048,-,coverage sweep row,19-1029,"Biological Scientists, All Other",GA,31626,Regular Full time (FT),Non-Exempt,"$52,500.00"
SCL-049,-,coverage sweep row,33-3021,Intelligence Analysts,GA,30707,Regular Part time (PT),Non-Exempt,"$52,000.00"
SCL-050,-,coverage sweep row,47-2121,Glaziers,GA,31015,Regular Full time (FT),Non-Exempt,"$47,600.00"
SCL-051,-,coverage sweep row,53-7199,"Material Moving Workers, All Other",IA,50014,Regular Full time (FT),Non-Exempt,"$34,700.00"
SCL-052,-,coverage sweep row,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",IA,51002,Regular Full time (FT),Non-Exempt,"$54,100.00"
SCL-053,-,coverage sweep row,29-2057,Ophthalmic Medical Technicians,IA,50654,Regular Full time (FT),Non-Exempt,"$44,200.00"
SCL-054,-,coverage sweep row,25-3031,"Substitute Teachers, Short-Term",IA,50601,Regular Full time (FT),Non-Exempt,"$22,800.00"
SCL-055,-,coverage sweep row,11-3051,Geothermal Production Managers,IA,52031,Regular Full time (FT),Non-Exempt,"$88,100.00"
SCL-056,-,coverage sweep row,25-1194,"Career/Technical Education Teachers, Postsecondary",IA,50049,Regular Part time (PT),Non-Exempt,"$60,700.00"
SCL-057,-,coverage sweep row,11-3111,Compensation and Benefits Managers,IA,50857,Regular Full time (FT),Non-Exempt,"$53,000.00"
SCL-058,-,coverage sweep row,29-1151,Nurse Anesthetists,IA,50027,Regular Full time (FT),Non-Exempt,"$218,000.00"
SCL-059,-,coverage sweep row,53-2011,"Airline Pilots, Copilots, and Flight Engineers",IA,52535,Regular Full time (FT),Non-Exempt,"$131,000.00"
SCL-060,-,coverage sweep row,29-1127,Speech-Language Pathologists,ID,83616,Regular Full time (FT),Non-Exempt,"$20,000.00"
SCL-061,-,coverage sweep row,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",ID,83864,Regular Full time (FT),Non-Exempt,"$35,200.00"
SCL-062,-,coverage sweep row,11-2033,Fundraising Managers,ID,83241,Regular Full time (FT),Non-Exempt,"$87,000.00"
SCL-063,-,coverage sweep row,49-9094,Locksmiths and Safe Repairers,ID,83524,Regular Part time (PT),Non-Exempt,"$29,200.00"
SCL-064,-,coverage sweep row,19-3033,Clinical and Counseling Psychologists,ID,83301,Regular Full time (FT),Non-Exempt,"$62,300.00"
SCL-065,-,coverage sweep row,23-2099,"Legal Support Workers, All Other",IL,61014,Regular Full time (FT),Non-Exempt,"$61,500.00"
SCL-066,-,coverage sweep row,51-9199,"Production Workers, All Other",IL,61938,Regular Full time (FT),Non-Exempt,"$25,400.00"
SCL-067,-,coverage sweep row,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",IL,62836,Regular Full time (FT),Non-Exempt,"$71,400.00"
SCL-068,-,coverage sweep row,51-4062,"Patternmakers, Metal and Plastic",IL,62272,Regular Full time (FT),Non-Exempt,"$80,200.00"
SCL-069,-,coverage sweep row,13-1131,Fundraisers,IL,60010,Regular Full time (FT),Non-Exempt,"$31,500.00"
SCL-070,-,coverage sweep row,35-3023,Fast Food and Counter Workers,IL,62002,Regular Part time (PT),Non-Exempt,"$30,000.00"
SCL-071,-,coverage sweep row,17-2199,"Engineers, All Other",IL,62082,Regular Full time (FT),Non-Exempt,"$109,400.00"
SCL-072,-,coverage sweep row,51-2021,"Coil Winders, Tapers, and Finishers",IL,62421,Regular Full time (FT),Non-Exempt,"$30,300.00"
SCL-073,-,coverage sweep row,11-3013,Facilities Managers,IL,61530,Regular Full time (FT),Non-Exempt,"$80,100.00"
SCL-074,-,coverage sweep row,47-2044,Tile and Stone Setters,IL,62890,Regular Full time (FT),Non-Exempt,"$53,400.00"
SCL-075,-,coverage sweep row,47-2041,Carpet Installers,IN,46041,Regular Full time (FT),Non-Exempt,"$29,300.00"
SCL-076,-,coverage sweep row,47-2181,Roofers,IN,46001,Regular Full time (FT),Non-Exempt,"$44,200.00"
SCL-077,-,coverage sweep row,19-2099,"Physical Scientists, All Other",IN,46031,Regular Part time (PT),Non-Exempt,"$64,300.00"
SCL-078,-,coverage sweep row,19-2021,Atmospheric and Space Scientists,IN,47043,Regular Full time (FT),Non-Exempt,"$50,900.00"
SCL-079,-,coverage sweep row,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",IN,46077,Regular Full time (FT),Non-Exempt,"$45,700.00"
SCL-080,-,coverage sweep row,39-2021,Animal Caretakers,IN,47108,Regular Full time (FT),Non-Exempt,"$28,800.00"
SCL-081,-,coverage sweep row,49-3091,Bicycle Repairers,IN,46115,Regular Full time (FT),Non-Exempt,"$17,200.00"
SCL-082,-,coverage sweep row,27-3023,"News Analysts, Reporters, and Journalists",IN,46031,Regular Full time (FT),Non-Exempt,"$33,500.00"
SCL-083,-,coverage sweep row,11-3031,Treasurers and Controllers,IN,46714,Regular Full time (FT),Non-Exempt,"$132,300.00"
SCL-084,-,coverage sweep row,27-2012,Producers and Directors,KS,66840,Regular Part time (PT),Non-Exempt,"$27,600.00"
SCL-085,-,coverage sweep row,29-1123,Physical Therapists,KS,66701,Regular Full time (FT),Non-Exempt,"$80,800.00"
SCL-086,-,coverage sweep row,19-2031,Chemists,KS,67563,Regular Full time (FT),Non-Exempt,"$66,300.00"
SCL-087,-,coverage sweep row,11-9121,Water Resource Specialists,KS,67004,Regular Full time (FT),Non-Exempt,"$85,500.00"
SCL-088,-,coverage sweep row,47-2152,"Plumbers, Pipefitters, and Steamfitters",KS,67028,Regular Full time (FT),Non-Exempt,"$47,800.00"
SCL-089,-,coverage sweep row,17-3023,Electrical and Electronic Engineering Technologists and Technicians,KS,67837,Regular Full time (FT),Non-Exempt,"$73,100.00"
SCL-090,-,coverage sweep row,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",KS,66402,Regular Full time (FT),Non-Exempt,"$27,800.00"
SCL-091,-,coverage sweep row,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",KS,67427,Regular Part time (PT),Non-Exempt,"$45,000.00"
SCL-092,-,coverage sweep row,13-2031,Budget Analysts,KS,67631,Regular Full time (FT),Non-Exempt,"$81,100.00"
SCL-093,-,coverage sweep row,43-4111,"Interviewers, Except Eligibility and Loan",KS,66412,Regular Full time (FT),Non-Exempt,"$26,000.00"
SCL-094,-,coverage sweep row,53-2021,Air Traffic Controllers,KY,40311,Regular Full time (FT),Non-Exempt,"$99,500.00"
SCL-095,-,coverage sweep row,19-1023,Zoologists and Wildlife Biologists,KY,42101,Regular Full time (FT),Non-Exempt,"$56,700.00"
SCL-096,-,coverage sweep row,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",KY,40486,Regular Full time (FT),Non-Exempt,"$33,500.00"
SCL-097,-,coverage sweep row,21-1093,Social and Human Service Assistants,KY,41216,Regular Full time (FT),Non-Exempt,"$31,500.00"
SCL-098,-,coverage sweep row,25-2011,"Preschool Teachers, Except Special Education",KY,40051,Regular Part time (PT),Non-Exempt,"$30,000.00"
SCL-099,-,coverage sweep row,11-9031,"Education and Childcare Administrators, Preschool and Daycare",KY,40383,Regular Full time (FT),Non-Exempt,"$27,400.00"
SCL-100,-,coverage sweep row,15-1251,Computer Programmers,KY,40823,Regular Full time (FT),Non-Exempt,"$84,300.00"
SCL-101,-,coverage sweep row,31-9091,Dental Assistants,KY,41640,Regular Full time (FT),Non-Exempt,"$46,500.00"
SCL-102,-,coverage sweep row,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",KY,40387,Regular Full time (FT),Non-Exempt,"$20,100.00"
SCL-103,-,coverage sweep row,33-3051,Customs and Border Protection Officers,KY,41514,Regular Full time (FT),Non-Exempt,"$48,800.00"
SCL-104,-,coverage sweep row,33-3051,Police and Sheriff's Patrol Officers,KY,40008,Regular Full time (FT),Non-Exempt,"$60,200.00"
SCL-105,-,coverage sweep row,35-2019,"Cooks, All Other",KY,40701,Regular Part time (PT),Non-Exempt,"$18,700.00"
SCL-106,-,coverage sweep row,29-1151,Nurse Anesthetists,LA,71046,Regular Full time (FT),Non-Exempt,"$209,800.00"
SCL-107,-,coverage sweep row,15-1299,Geographic Information Systems Technologists and Technicians,LA,70722,Regular Full time (FT),Non-Exempt,"$75,600.00"
SCL-108,-,coverage sweep row,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",LA,71343,Regular Full time (FT),Non-Exempt,"$14,700.00"
SCL-109,-,coverage sweep row,27-2023,"Umpires, Referees, and Other Sports Officials",LA,71019,Regular Full time (FT),Non-Exempt,"$41,600.00"
SCL-110,-,coverage sweep row,49-3023,Automotive Service Technicians and Mechanics,LA,70427,Regular Full time (FT),Non-Exempt,"$46,000.00"
SCL-111,-,coverage sweep row,53-5011,Sailors and Marine Oilers,LA,71237,Regular Full time (FT),Non-Exempt,"$23,700.00"
SCL-112,-,coverage sweep row,25-1042,"Biological Science Teachers, Postsecondary",MA,01002,Regular Part time (PT),Non-Exempt,"$64,200.00"
SCL-113,-,coverage sweep row,47-5023,"Earth Drillers, Except Oil and Gas",MD,21632,Regular Full time (FT),Non-Exempt,"$59,800.00"
SCL-114,-,coverage sweep row,53-6021,Parking Attendants,MD,20705,Regular Full time (FT),Non-Exempt,"$25,000.00"
SCL-115,-,coverage sweep row,11-3013,Facilities Managers,ME,04040,Regular Full time (FT),Non-Exempt,"$72,800.00"
SCL-116,-,coverage sweep row,31-9091,Dental Assistants,MI,48647,Regular Full time (FT),Non-Exempt,"$47,000.00"
SCL-117,-,coverage sweep row,39-9032,Recreation Workers,MI,49022,Regular Full time (FT),Non-Exempt,"$20,200.00"
SCL-118,-,coverage sweep row,39-9011,Nannies,MI,49807,Regular Full time (FT),Non-Exempt,"$27,000.00"
SCL-119,-,coverage sweep row,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",MI,48441,Regular Part time (PT),Non-Exempt,"$36,900.00"
SCL-120,-,coverage sweep row,29-2036,Medical Dosimetrists,MI,49805,Regular Full time (FT),Non-Exempt,"$87,500.00"
SCL-121,-,coverage sweep row,11-3031,Financial Managers,MI,49818,Regular Full time (FT),Non-Exempt,"$104,800.00"
SCL-122,-,coverage sweep row,51-2021,"Coil Winders, Tapers, and Finishers",MI,49303,Regular Full time (FT),Non-Exempt,"$45,300.00"
SCL-123,-,coverage sweep row,51-9141,Semiconductor Processing Technicians,MI,48415,Regular Full time (FT),Non-Exempt,"$30,500.00"
SCL-124,-,coverage sweep row,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",MI,49601,Regular Full time (FT),Non-Exempt,"$59,600.00"
SCL-125,-,coverage sweep row,25-1061,"Anthropology and Archeology Teachers, Postsecondary",MN,55317,Regular Full time (FT),Non-Exempt,"$93,000.00"
SCL-126,-,coverage sweep row,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",MN,56308,Regular Part time (PT),Non-Exempt,"$31,700.00"
SCL-127,-,coverage sweep row,29-2033,Nuclear Medicine Technologists,MN,51360,Regular Full time (FT),Non-Exempt,"$99,000.00"
SCL-128,-,coverage sweep row,39-9011,Nannies,MN,56113,Regular Full time (FT),Non-Exempt,"$33,600.00"
SCL-129,-,coverage sweep row,17-3027,Automotive Engineering Technicians,MN,55332,Regular Full time (FT),Non-Exempt,"$36,200.00"
SCL-130,-,coverage sweep row,43-3021,Billing and Posting Clerks,MN,55038,Regular Full time (FT),Non-Exempt,"$47,800.00"
SCL-131,-,coverage sweep row,29-9092,Genetic Counselors,MN,55320,Regular Full time (FT),Non-Exempt,"$99,100.00"
SCL-132,-,coverage sweep row,53-6032,Aircraft Service Attendants,MN,56019,Regular Full time (FT),Non-Exempt,"$27,700.00"
SCL-133,-,coverage sweep row,47-2011,Boilermakers,MO,64748,Regular Part time (PT),Non-Exempt,"$48,200.00"
SCL-134,-,coverage sweep row,35-3011,Bartenders,MO,63730,Regular Full time (FT),Non-Exempt,"$27,100.00"
SCL-135,-,coverage sweep row,51-9011,Chemical Equipment Operators and Tenders,MO,65023,Regular Full time (FT),Non-Exempt,"$29,400.00"
SCL-136,-,coverage sweep row,17-2199,Mechatronics Engineers,MO,63014,Regular Full time (FT),Non-Exempt,"$66,700.00"
SCL-137,-,coverage sweep row,17-2199,"Energy Engineers, Except Wind and Solar",MO,63620,Regular Full time (FT),Non-Exempt,"$93,000.00"
SCL-138,-,coverage sweep row,47-2121,Glaziers,MO,63333,Regular Full time (FT),Non-Exempt,"$22,900.00"
SCL-139,-,coverage sweep row,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",MO,63801,Regular Full time (FT),Non-Exempt,"$26,200.00"
SCL-140,-,coverage sweep row,17-2072,Radio Frequency Identification Device Specialists,MO,63848,Regular Part time (PT),Non-Exempt,"$114,100.00"
SCL-141,-,coverage sweep row,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,MO,63534,Regular Full time (FT),Non-Exempt,"$34,900.00"
SCL-142,-,coverage sweep row,11-3031,Treasurers and Controllers,MO,63535,Regular Full time (FT),Non-Exempt,"$101,800.00"
SCL-143,-,coverage sweep row,11-3021,Computer and Information Systems Managers,MO,64744,Regular Full time (FT),Non-Exempt,"$139,700.00"
SCL-144,-,coverage sweep row,17-2199,Solar Energy Systems Engineers,MS,39051,Regular Full time (FT),Non-Exempt,"$31,600.00"
SCL-145,-,coverage sweep row,29-9091,Athletic Trainers,MS,38614,Regular Full time (FT),Non-Exempt,"$49,400.00"
SCL-146,-,coverage sweep row,53-7061,Cleaners of Vehicles and Equipment,MS,39532,Regular Full time (FT),Non-Exempt,"$29,100.00"
SCL-147,-,coverage sweep row,25-2051,"Special Education Teachers, Preschool",MS,39168,Regular Part time (PT),Non-Exempt,"$32,800.00"
SCL-148,-,coverage sweep row,35-3011,Bartenders,MS,39041,Regular Full time (FT),Non-Exempt,"$19,700.00"
SCL-149,-,coverage sweep row,49-3092,Recreational Vehicle Service Technicians,MS,39426,Regular Full time (FT),Non-Exempt,"$44,000.00"
SCL-150,-,coverage sweep row,29-1127,Speech-Language Pathologists,MS,39042,Regular Full time (FT),Non-Exempt,"$40,800.00"
SCL-151,-,coverage sweep row,15-1255,Web and Digital Interface Designers,MS,39183,Regular Full time (FT),Non-Exempt,"$45,900.00"
SCL-152,-,coverage sweep row,19-2043,Hydrologists,MT,59501,Regular Full time (FT),Non-Exempt,"$80,700.00"
SCL-153,-,coverage sweep row,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",MT,59032,Regular Full time (FT),Non-Exempt,"$28,000.00"
SCL-154,-,coverage sweep row,29-2081,"Opticians, Dispensing",MT,59821,Regular Part time (PT),Non-Exempt,"$38,600.00"
SCL-155,-,coverage sweep row,11-3031,Investment Fund Managers,MT,59032,Regular Full time (FT),Non-Exempt,"$126,200.00"
SCL-156,-,coverage sweep row,19-5012,Occupational Health and Safety Technicians,MT,59821,Regular Full time (FT),Non-Exempt,"$40,000.00"
SCL-157,-,coverage sweep row,25-1032,"Engineering Teachers, Postsecondary",MT,59015,Regular Full time (FT),Non-Exempt,"$109,400.00"
SCL-158,-,coverage sweep row,51-3093,Food Cooking Machine Operators and Tenders,NC,28436,Regular Full time (FT),Non-Exempt,"$37,400.00"
SCL-159,-,coverage sweep row,53-2021,Air Traffic Controllers,NC,28902,Regular Full time (FT),Non-Exempt,"$68,500.00"
SCL-160,-,coverage sweep row,47-5099,"Extraction Workers, All Other",NC,28341,Regular Full time (FT),Non-Exempt,"$37,500.00"
SCL-161,-,coverage sweep row,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",NC,27843,Regular Part time (PT),Non-Exempt,"$51,800.00"
SCL-162,-,coverage sweep row,51-6011,Laundry and Dry-Cleaning Workers,NC,28501,Regular Full time (FT),Non-Exempt,"$19,100.00"
SCL-163,-,coverage sweep row,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",NC,27209,Regular Full time (FT),Non-Exempt,"$39,400.00"
SCL-164,-,coverage sweep row,49-9081,Wind Turbine Service Technicians,NC,27919,Regular Full time (FT),Non-Exempt,"$65,600.00"
SCL-165,-,coverage sweep row,51-8099,"Plant and System Operators, All Other",NC,28345,Regular Full time (FT),Non-Exempt,"$38,400.00"
SCL-166,-,coverage sweep row,49-3022,Automotive Glass Installers and Repairers,NC,27537,Regular Full time (FT),Non-Exempt,"$50,500.00"
SCL-167,-,coverage sweep row,13-1121,"Meeting, Convention, and Event Planners",ND,58301,Regular Full time (FT),Non-Exempt,"$51,200.00"
SCL-168,-,coverage sweep row,19-2043,Hydrologists,ND,58601,Regular Part time (PT),Non-Exempt,"$61,000.00"
SCL-169,-,coverage sweep row,29-2055,Surgical Technologists,ND,58049,Regular Full time (FT),Non-Exempt,"$50,600.00"
SCL-170,-,coverage sweep row,25-1066,"Psychology Teachers, Postsecondary",ND,58220,Regular Full time (FT),Non-Exempt,"$100,300.00"
SCL-171,-,coverage sweep row,13-1111,Management Analysts,ND,58620,Regular Full time (FT),Non-Exempt,"$38,500.00"
SCL-172,-,coverage sweep row,13-2041,Credit Analysts,NE,68883,Regular Full time (FT),Non-Exempt,"$60,800.00"
SCL-173,-,coverage sweep row,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",NE,51557,Regular Full time (FT),Non-Exempt,"$52,600.00"
SCL-174,-,coverage sweep row,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",NE,68733,Regular Full time (FT),Non-Exempt,"$29,200.00"
SCL-175,-,coverage sweep row,17-2199,"Energy Engineers, Except Wind and Solar",NE,68937,Regular Part time (PT),Non-Exempt,"$46,700.00"
SCL-176,-,coverage sweep row,19-4012,Agricultural Technicians,NE,68949,Regular Full time (FT),Non-Exempt,"$42,400.00"
SCL-177,-,coverage sweep row,13-1041,Customs Brokers,NE,68759,Regular Full time (FT),Non-Exempt,"$36,300.00"
SCL-178,-,coverage sweep row,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",NE,68623,Regular Full time (FT),Non-Exempt,"$39,000.00"
SCL-179,-,coverage sweep row,17-2021,Agricultural Engineers,NE,69001,Regular Full time (FT),Non-Exempt,"$75,800.00"
SCL-180,-,coverage sweep row,15-1299,Penetration Testers,NE,57735,Regular Full time (FT),Non-Exempt,"$40,400.00"
SCL-181,-,coverage sweep row,21-1092,Probation Officers and Correctional Treatment Specialists,NE,68313,Regular Full time (FT),Non-Exempt,"$48,200.00"
SCL-182,-,coverage sweep row,29-2099,Neurodiagnostic Technologists,NJ,08037,Regular Part time (PT),Non-Exempt,"$56,100.00"
SCL-183,-,coverage sweep row,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",NJ,07060,Regular Full time (FT),Non-Exempt,"$30,600.00"
SCL-184,-,coverage sweep row,11-9199,Wind Energy Operations Managers,NM,87015,Regular Full time (FT),Non-Exempt,"$102,800.00"
SCL-185,-,coverage sweep row,13-1199,Sustainability Specialists,NM,87711,Regular Full time (FT),Non-Exempt,"$76,500.00"
SCL-186,-,coverage sweep row,31-9011,Massage Therapists,NM,88101,Regular Full time (FT),Non-Exempt,"$23,700.00"
SCL-187,-,coverage sweep row,13-1081,Logisticians,NM,87002,Regular Full time (FT),Non-Exempt,"$73,300.00"
SCL-188,-,coverage sweep row,19-4012,Agricultural Technicians,NV,89010,Regular Full time (FT),Non-Exempt,"$46,000.00"
SCL-189,-,coverage sweep row,39-2011,Animal Trainers,NY,13730,Regular Part time (PT),Non-Exempt,"$27,700.00"
SCL-190,-,coverage sweep row,49-9051,Electrical Power-Line Installers and Repairers,NY,10512,Regular Full time (FT),Non-Exempt,"$83,800.00"
SCL-191,-,coverage sweep row,43-4071,File Clerks,NY,13309,Regular Full time (FT),Non-Exempt,"$43,100.00"
SCL-192,-,coverage sweep row,41-2021,Counter and Rental Clerks,NY,14432,Regular Full time (FT),Non-Exempt,"$27,700.00"
SCL-193,-,coverage sweep row,35-2012,"Cooks, Institution and Cafeteria",NY,12010,Regular Full time (FT),Non-Exempt,"$37,900.00"
SCL-194,-,coverage sweep row,53-7073,Wellhead Pumpers,NY,12406,Regular Full time (FT),Non-Exempt,"$44,700.00"
SCL-195,-,coverage sweep row,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,OH,43728,Regular Full time (FT),Non-Exempt,"$44,000.00"
SCL-196,-,coverage sweep row,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",OH,43930,Regular Part time (PT),Non-Exempt,"$38,500.00"
SCL-197,-,coverage sweep row,49-2098,Security and Fire Alarm Systems Installers,OH,43016,Regular Full time (FT),Non-Exempt,"$61,000.00"
SCL-198,-,coverage sweep row,25-3031,"Substitute Teachers, Short-Term",OH,43502,Regular Full time (FT),Non-Exempt,"$22,200.00"
SCL-199,-,coverage sweep row,53-7031,Dredge Operators,OH,43060,Regular Full time (FT),Non-Exempt,"$47,000.00"
SCL-200,-,coverage sweep row,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",OH,43716,Regular Full time (FT),Non-Exempt,"$39,600.00"
SCL-201,-,coverage sweep row,41-9099,"Sales and Related Workers, All Other",OH,45133,Regular Full time (FT),Non-Exempt,"$20,200.00"
